0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
4.015342298205134171e+02	7.424728570330254825e-04	1.968075048771340263e-01
7.905547472889943492e+02	1.462171898876879136e-03	1.900961806149495392e-01
1.168089095927473636e+03	2.160620624002625428e-03	1.838949612271824907e-01
1.535068649098056767e+03	2.839542157268718902e-03	1.781566433699446617e-01
1.892338638672234310e+03	3.500500253036807792e-03	1.728389069376993215e-01
2.240667067430511452e+03	4.144915784080966704e-03	1.679037742925814369e-01
2.580752635112179178e+03	4.774081405637060731e-03	1.633171322043700802e-01
2.913231792416343524e+03	5.389174606062808494e-03	1.590483089826638385e-01
3.238685023560890841e+03	5.991269330242771085e-03	1.550697002071672326e-01
3.557642445994360969e+03	6.581346339649346913e-03	1.513564372704813976e-01
3.870588805315696845e+03	7.160302453470590404e-03	1.478860936551037175e-01
4.177967934204570156e+03	7.728958798097901317e-03	1.446384244853927137e-01
4.480186736040280266e+03	8.288068177234856129e-03	1.415951354371897120e-01
4.777618746748399644e+03	8.838321661680888577e-03	1.387396775624548662e-01
5.070607322140886026e+03	9.380354486236825579e-03	1.360570650020715422e-01
5.359468492498902378e+03	9.914751330973144150e-03	1.335337129244430765e-01
5.644493521293998128e+03	1.044205105512212815e-02	1.311572933469970781e-01
5.925951200673725907e+03	1.096275094395586860e-02	1.289166067779407010e-01
6.204089912576047027e+03	1.147731052205241790e-02	1.268014678615166646e-01
6.479139481025654277e+03	1.198615498022624973e-02	1.248026034257798816e-01
6.751312838245263265e+03	1.248967825799673567e-02	1.229115615214449453e-01
7.020807524641856617e+03	1.298824581870780016e-02	1.211206302068118107e-01
7.287807040456329560e+03	1.348219715020940179e-02	1.194227649800473912e-01
7.552482064861896106e+03	1.397184802030544681e-02	1.178115238887260663e-01
7.814991556526626482e+03	1.445749251289815858e-02	1.162810094596477550e-01
8.075483748092174210e+03	1.493940486786651811e-02	1.148258166914584572e-01
8.334097045638713098e+03	1.541784114515956650e-02	1.134409864402449036e-01
8.590960842984235569e+03	1.589304073132467854e-02	1.121219636054126279e-01
8.846196259584399741e+03	1.636522770468919891e-02	1.108645595911555565e-01
9.099916809842106886e+03	1.683461207364324655e-02	1.096649185787391817e-01
9.352229010786964864e+03	1.730139090090078088e-02	1.085194871976914582e-01
9.603232934333549565e+03	1.776574932522597197e-02	1.074249872306020370e-01
9.853022709660765031e+03	1.822786149087879046e-02	1.063783910274130190e-01
1.010168698066139041e+04	1.868789139393610063e-02	1.053768993414293392e-01
1.034930932288815893e+04	1.914599365367747677e-02	1.044179213314035543e-01
1.059596862395256176e+04	1.960231421635509619e-02	1.034990565024497267e-01
1.084173943092057016e+04	2.005699099790484233e-02	1.026180783836530414e-01
